1024 1024
(x=260, y=475); kind: conductor;
(x=49, y=475); kind: conductor;
(x=316, y=475); kind: conductor;
(x=407, y=928); kind: conductor;
(x=407, y=766); kind: conductor;
(x=178, y=475); kind: conductor;
(x=8, y=475); kind: conductor;
(x=407, y=622); kind: conductor;
(x=407, y=666); kind: conductor;
(x=147, y=475); kind: conductor;
(x=93, y=475); kind: conductor;
(x=407, y=620); kind: bud;
(x=407, y=654); kind: conductor;
(x=318, y=475); kind: conductor;
(x=213, y=475); kind: conductor;
(x=103, y=475); kind: conductor;
(x=86, y=475); kind: conductor;
(x=407, y=859); kind: conductor;
(x=72, y=475); kind: conductor;
(x=264, y=475); kind: conductor;
(x=407, y=786); kind: conductor;
(x=65, y=475); kind: conductor;
(x=407, y=694); kind: conductor;
(x=84, y=475); kind: conductor;
(x=407, y=675); kind: conductor;
(x=40, y=475); kind: conductor;
(x=9, y=475); kind: conductor;
(x=349, y=475); kind: conductor;
(x=86, y=199); kind: producer;
(x=265, y=475); kind: conductor;
(x=407, y=769); kind: conductor;
(x=229, y=475); kind: conductor;
(x=196, y=475); kind: conductor;
(x=407, y=824); kind: conductor;
(x=407, y=827); kind: conductor;
(x=407, y=833); kind: conductor;
(x=145, y=475); kind: conductor;
(x=89, y=475); kind: conductor;
(x=365, y=475); kind: conductor;
(x=26, y=475); kind: conductor;
(x=258, y=475); kind: conductor;
(x=407, y=836); kind: conductor;
(x=2, y=473); kind: conductor;
(x=407, y=991); kind: conductor;
(x=407, y=712); kind: conductor;
(x=200, y=475); kind: conductor;
(x=161, y=475); kind: conductor;
(x=54, y=475); kind: conductor;
(x=407, y=807); kind: conductor;
(x=50, y=475); kind: conductor;
(x=226, y=475); kind: conductor;
(x=3, y=474); kind: bud;
(x=407, y=1006); kind: conductor;
(x=407, y=1009); kind: conductor;
(x=246, y=475); kind: conductor;
(x=407, y=705); kind: conductor;
(x=407, y=719); kind: conductor;
(x=407, y=832); kind: conductor;
(x=407, y=718); kind: conductor;
(x=407, y=1021); kind: bud;
(x=537, y=347); kind: producer;
(x=407, y=1011); kind: conductor;
(x=407, y=999); kind: conductor;
(x=128, y=475); kind: conductor;
(x=407, y=688); kind: conductor;
(x=28, y=475); kind: conductor;
(x=339, y=475); kind: conductor;
(x=321, y=475); kind: conductor;
(x=407, y=658); kind: conductor;
(x=407, y=680); kind: conductor;
(x=407, y=684); kind: conductor;
(x=4, y=475); kind: conductor;
(x=2, y=474); kind: conductor;
(x=407, y=630); kind: conductor;
(x=76, y=475); kind: conductor;
(x=407, y=1014); kind: conductor;
(x=407, y=844); kind: conductor;
(x=407, y=982); kind: conductor;
(x=232, y=475); kind: conductor;
(x=330, y=475); kind: conductor;
(x=31, y=475); kind: conductor;
(x=407, y=674); kind: conductor;
(x=21, y=475); kind: conductor;
(x=407, y=767); kind: conductor;
(x=407, y=1002); kind: conductor;
(x=407, y=978); kind: conductor;
(x=407, y=843); kind: conductor;
(x=309, y=475); kind: conductor;
(x=407, y=886); kind: conductor;
(x=407, y=1004); kind: conductor;
(x=340, y=475); kind: conductor;
(x=73, y=475); kind: conductor;
(x=407, y=735); kind: conductor;
(x=133, y=475); kind: conductor;
(x=407, y=743); kind: conductor;
(x=291, y=475); kind: conductor;
(x=407, y=819); kind: conductor;
(x=129, y=475); kind: conductor;
(x=407, y=872); kind: conductor;
(x=90, y=475); kind: conductor;
(x=83, y=475); kind: conductor;
(x=407, y=972); kind: conductor;
(x=407, y=917); kind: conductor;
(x=407, y=987); kind: conductor;
(x=407, y=899); kind: conductor;
(x=119, y=747); kind: bud;
(x=407, y=671); kind: conductor;
(x=407, y=881); kind: conductor;
(x=236, y=475); kind: conductor;
(x=407, y=741); kind: conductor;
(x=407, y=810); kind: conductor;
(x=407, y=806); kind: conductor;
(x=407, y=897); kind: conductor;
(x=322, y=475); kind: conductor;
(x=407, y=720); kind: conductor;
(x=119, y=475); kind: conductor;
(x=113, y=475); kind: conductor;
(x=407, y=920); kind: conductor;
(x=407, y=679); kind: conductor;
(x=109, y=475); kind: conductor;
(x=215, y=475); kind: conductor;
(x=7, y=475); kind: conductor;
(x=407, y=989); kind: conductor;
(x=407, y=954); kind: conductor;
(x=187, y=739); kind: bud;
(x=254, y=475); kind: conductor;
(x=301, y=475); kind: conductor;
(x=407, y=692); kind: conductor;
(x=219, y=475); kind: conductor;
(x=244, y=475); kind: conductor;
(x=407, y=754); kind: conductor;
(x=204, y=475); kind: conductor;
(x=350, y=475); kind: conductor;
(x=407, y=765); kind: conductor;
(x=407, y=788); kind: conductor;
(x=822, y=627); kind: bud;
(x=59, y=475); kind: conductor;
(x=42, y=475); kind: conductor;
(x=407, y=896); kind: conductor;
(x=360, y=475); kind: conductor;
(x=252, y=475); kind: conductor;
(x=407, y=663); kind: conductor;
(x=407, y=856); kind: conductor;
(x=407, y=946); kind: conductor;
(x=407, y=854); kind: conductor;
(x=131, y=475); kind: conductor;
(x=16, y=475); kind: conductor;
(x=407, y=1017); kind: conductor;
(x=408, y=1021); kind: producer;
(x=182, y=475); kind: conductor;
(x=407, y=790); kind: conductor;
(x=407, y=728); kind: conductor;
(x=448, y=584); kind: producer;
(x=141, y=475); kind: conductor;
(x=407, y=657); kind: conductor;
(x=407, y=647); kind: conductor;
(x=205, y=475); kind: conductor;
(x=98, y=475); kind: conductor;
(x=407, y=713); kind: conductor;
(x=273, y=475); kind: conductor;
(x=284, y=475); kind: conductor;
(x=407, y=768); kind: conductor;
(x=283, y=475); kind: conductor;
(x=211, y=475); kind: conductor;
(x=407, y=762); kind: conductor;
(x=153, y=475); kind: conductor;
(x=149, y=475); kind: conductor;
(x=179, y=475); kind: conductor;
(x=407, y=916); kind: conductor;
(x=407, y=633); kind: conductor;
(x=201, y=475); kind: conductor;
(x=364, y=475); kind: conductor;
